grade,unit,section,sectionType,exerciseNumber,sourceImage,sourceAsset,sourceRegion,activityType,verificationStatus,activationStatus
2,1,book-big-question,Big Question,multiple / mapped,frame_0014.png,grade2-source/original/book1/frame_0014.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,1,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0015.png | frame_0016.png,grade2-source/original/book1/frame_0015.webp | grade2-source/original/book1/frame_0016.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,1,book-pronunciation,Pronunciation,multiple / mapped,frame_0014.png,grade2-source/original/book1/frame_0014.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,1,book-reading-1,Reading 1,multiple / mapped,frame_0016.png | frame_0017.png,grade2-source/original/book1/frame_0016.webp | grade2-source/original/book1/frame_0017.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,1,book-reading-skill,Reading Skill,multiple / mapped,frame_0016.png | frame_0017.png | frame_0021.png | frame_0022.png,grade2-source/original/book1/frame_0016.webp | grade2-source/original/book1/frame_0017.webp | grade2-source/original/book1/frame_0021.webp | grade2-source/original/book1/frame_0022.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-grammar-1,Grammar 1,multiple / mapped,frame_0018.png,grade2-source/original/book1/frame_0018.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,1,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0018.png,grade2-source/original/book1/frame_0018.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-listening,Listening,multiple / mapped,frame_0018.png | frame_0019.png,grade2-source/original/book1/frame_0018.webp | grade2-source/original/book1/frame_0019.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0018.png | frame_0019.png | frame_0022.png | frame_0023.png,grade2-source/original/book1/frame_0018.webp | grade2-source/original/book1/frame_0019.webp | grade2-source/original/book1/frame_0022.webp | grade2-source/original/book1/frame_0023.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,1,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0019.png | frame_0020.png,grade2-source/original/book1/frame_0019.webp | grade2-source/original/book1/frame_0020.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,1,book-reading-2,Reading 2,multiple / mapped,frame_0020.png | frame_0021.png | frame_0022.png,grade2-source/original/book1/frame_0020.webp | grade2-source/original/book1/frame_0021.webp | grade2-source/original/book1/frame_0022.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
