id,grade,unit,sourceZip,sourceImage,sourcePage,sectionType,sectionTypes,clarity,sourceStatus,verificationStatus,contentOrigin,ocrCharacterCount,sha256
b1-001,2,,anh_tam(1)(1).zip,frame_0001.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,766,8cd63085db744732518fb4cbe464fb4611251df60c9d24029db9beb872eb1e19
b1-002,2,,anh_tam(1)(1).zip,frame_0002.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,818,23173a75d17e9c330905fd3584d7949785f659f11d9884f80edba03ba798ccab
b1-003,2,,anh_tam(1)(1).zip,frame_0003.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,1831,94a17b75a54b22bcef5ca8d05209c1ea41224ec0955b983cd82aa22f703bce4c
b1-004,2,,anh_tam(1)(1).zip,frame_0004.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,3183,4ad20d77ac515ff07ae737f4d5de186d4974e35d3fa8362cc314dd4b77b9fde7
b1-005,2,,anh_tam(1)(1).zip,frame_0005.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,2247,4a514805fc8a9cfc8703997196266074361e8b09d8df3a52cc0a3e33c3547d77
b1-006,2,,anh_tam(1)(1).zip,frame_0006.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,1748,c6947ce3e380e7150bb9b4b1cb792b3352c9da7ebbc8b8fc29b30ffd54169da8
b1-007,2,,anh_tam(1)(1).zip,frame_0007.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,2121,e888488eb77a7b4a0f7c8696257381de094e22551a779537d84b95a7cf42628c
b1-008,2,,anh_tam(1)(1).zip,frame_0008.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,1791,f53d73c01090e42af962e10acaa08183e7f4b4e5cf8dd141b03def2b6d25976b
b1-009,2,,anh_tam(1)(1).zip,frame_0009.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,2509,e74c07aa9b823903b3caef9e5b8e3e08ddcb096b8d5436cb9eae6853e15a7e56
b1-010,2,,anh_tam(1)(1).zip,frame_0010.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,2628,1da3e620e8a6a8d4e78276e3a5ca1a96d217f0de519a2e33e2fd7244eb9f00f4
b1-011,2,,anh_tam(1)(1).zip,frame_0011.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,1860,4ffb032e9f6e7c58fd1dcd17a6b88fd59a5c38e30c2ded44b9721d028d63ceb6
b1-012,2,,anh_tam(1)(1).zip,frame_0012.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,2074,c666f9ccd47896a4581973f76ce29fa457e5092ff4e484c3889b6b33f913fa10
b1-013,2,,anh_tam(1)(1).zip,frame_0013.png,,Khác,Khác,needs_review,front_matter,needs_review,book_source,1687,58310a6ef4368e68515fdd26e21b612c93dfa5427865a9429e7fea60ad2dea2a
b1-014,2,1,anh_tam(1)(1).zip,frame_0014.png,4–19 · ảnh 1/12; số trang cụ thể cần đối chiếu trên ảnh,Big Question,Big Question,clear,mapped,ocr_extracted_needs_review,book_source,1549,767c3ea758cfa8f9d65aa247f3adad1af1344a45f6bd511b0ee898a43d7ec41d
b1-015,2,1,anh_tam(1)(1).zip,frame_0015.png,4–19 · ảnh 2/12; số trang cụ thể cần đối chiếu trên ảnh,Vocabulary 1,Vocabulary 1,clear,mapped,ocr_extracted_needs_review,book_source,1745,1ced119f002ca45b4e8ee93f2f556337226419fa11486be881a11ea6a514d2d3
b1-016,2,1,anh_tam(1)(1).zip,frame_0016.png,4–19 · ảnh 3/12; số trang cụ thể cần đối chiếu trên ảnh,Vocabulary 1,Vocabulary 1 | Reading 1 | Reading Skill,clear,mapped,ocr_extracted_needs_review,book_source,1956,a6b7b9f0a5899d173af7a8a19443b39a730bca32333de15d5a2698a61f743d67
b1-017,2,1,anh_tam(1)(1).zip,frame_0017.png,4–19 · ảnh 4/12; số trang cụ thể cần đối chiếu trên ảnh,Reading 1,Reading 1 | Reading Skill,clear,mapped,ocr_extracted_needs_review,book_source,2375,c074da9910b61d15d6216f7377b05cf0e010eb36a39bc7c62e0e19ea32bb32bb
b1-018,2,1,anh_tam(1)(1).zip,frame_0018.png,4–19 · ảnh 5/12; số trang cụ thể cần đối chiếu trên ảnh,Grammar 1,Grammar 1 | Grammar Practice 1 | Listening | Speaking/Communication,clear,mapped,ocr_extracted_needs_review,book_source,2290,353aecb1146239f15e3e857626c8ab292fd2155cebc555254d8b979e15f99123
b1-019,2,1,anh_tam(1)(1).zip,frame_0019.png,4–19 · ảnh 6/12; số trang cụ thể cần đối chiếu trên ảnh,Listening,Listening | Vocabulary 2 | Speaking/Communication,clear,mapped,ocr_extracted_needs_review,book_source,2277,2fb607d6b2828c917f4209331b7e26cafacd0b360402c7d920e95c7d9288e4bc
